FQDN,IP
noaa.com,50.28.56.190
blibli.com,104.18.5.182
google.com,142.250.77.110
google.com,142.250.77.110
yahoo.com,74.6.231.21
apple.com,17.253.144.10
yelp.com,199.232.104.116
goo gle.com,lookup goo gle.com: no such host
researchgate.com,176.9.150.87
medium.com,162.159.153.4
microsoft.com,20.81.111.85
mapquest.com,23.23.169.13
shutterstock.com,99.83.219.164
facebook.com,157.240.23.35
spotify.com,35.186.224.25
github.com,20.207.73.82
dictionary.com,151.101.130.133
msn.com,204.79.197.219
yourdictionary.com,13.33.146.85
npr.org,108.158.251.85
moovitapp.com,108.158.251.41
msn.com,204.79.197.219
foursquare.com,151.101.66.132
dictionary.com,151.101.130.133
latimes.com,13.248.222.133
dailymotion.com,195.8.215.136
soundcloud.com,52.84.150.63
spotify.com,35.186.224.25
shutterstock.com,99.83.219.164
soundcloud.com,52.84.150.63
amazon.com,52.94.236.248
medium.com,162.159.153.4
jcpenney.com,23.77.10.248
vymaps.com,3.6.118.31
britannica.com,54.84.230.252
tripadvisor.com,151.101.130.28
mapquest.com,23.23.169.13
forbes.com,151.101.66.49
foursquare.com,151.101.66.132
microsoft.com,20.81.111.85
usnn~ews.com,lookup usnn~ews.com: no such host
yahoo.com,74.6.231.21
vymaps.com,3.6.118.31
apple.com,17.253.144.10
et sy.com,lookup et sy.com: no such host
yelp.com,199.232.104.116
yelp.com,199.232.104.116
tumblrr.com,lookup tumblrr.com: no such host
wikiwand.com,108.159.15.122
wikiwand.com,108.159.15.122
meinestadt.com,81.173.194.3
blibli.com,104.18.5.182
usgs.com,104.143.9.111
jcpenney.com,23.77.10.248
noaa.com,50.28.56.190
facebook.com,157.240.23.35
google.com,142.250.77.110
amazon.com,52.94.236.248
gizmodo.com,151.101.2.166
yelp.com,199.232.104.116
fandom.com,151.101.192.194
manchestereveningnews.co.com,173.192.115.17
slideshare.net,151.101.194.152
thebalance.com,18.234.22.85
facebook.com,157.240.23.35
google.com,142.250.77.110
manchestereveningnews.co.com,173.192.115.17
bonappetit.com,151.101.192.239
jagran.com,34.111.180.20
fandom.com,151.101.192.194
yahoo.com,74.6.231.21
apple.com,17.253.144.10
yelp.com,199.232.104.116
researchgate.net,104.17.32.105
linkedin.com,13.107.42.14
medium.com,162.159.153.4
britannica.com,54.84.230.252
researchgate.com,176.9.150.87
reverso.com,54.36.69.215
tripadvisor.com,151.101.130.28
mapquest.com,23.23.169.13
forbes.com,151.101.66.49
microsoft.com,20.81.111.85
goo gle.com,lookup goo gle.com: no such host
